m,n,k,cublas_time_ms,cublas_gflops
256,256,256,0.017408,1927.53
512,512,512,0.017408,15420.2
768,768,768,0.019456,46565.1
1024,1024,1024,0.0256,83886.1
1280,1280,1280,0.031744,132129
1536,1536,1536,0.052224,138782
1792,1792,1792,0.07168,160563
2048,2048,2048,0.082944,207126
2304,2304,2304,0.1024,238879
2560,2560,2560,0.139264,240941
2816,2816,2816,0.196608,227157
3072,3072,3072,0.244736,236917
3328,3328,3328,0.305152,241582
3584,3584,3584,0.347136,265237
3840,3840,3840,0.447488,253071
4096,4096,4096,0.514048,267366
4352,4352,4352,0.62976,261771
4608,4608,4608,0.699392,279799
4864,4864,4864,0.842752,273093
5120,5120,5120,0.9728,275941
5376,5376,5376,1.14893,270467
5632,5632,5632,1.23904,288358
5888,5888,5888,1.43872,283764
6144,6144,6144,1.64557,281882
6400,6400,6400,1.86368,281319
6656,6656,6656,2.09203,281904
6912,6912,6912,2.31322,285512
7168,7168,7168,2.64704,278268
7424,7424,7424,2.85798,286341
7680,7680,7680,3.13651,288846
7936,7936,7936,3.4304,291400
8192,8192,8192,3.77958,290908
8448,8448,8448,4.24038,284372
8704,8704,8704,5.04422,261452
8960,8960,8960,5.17939,277764
9216,9216,9216,5.28077,296456
9472,9472,9472,5.9904,283726
9728,9728,9728,6.27814,293271
9984,9984,9984,7.2407,274893
10240,10240,10240,8.19405,262078
10496,10496,10496,8.54528,270630
10752,10752,10752,9.41568,264026
11008,11008,11008,10.0936,264308
11264,11264,11264,10.6916,267341
11520,11520,11520,11.8548,257924
11776,11776,11776,12.5102,261071
12032,12032,12032,13.2352,263216
12288,12288,12288,14.3165,259200
12544,12544,12544,15.318,257713
12800,12800,12800,16.4516,254948
13056,13056,13056,17.5759,253246
13312,13312,13312,18.517,254794
13568,13568,13568,19.7151,253384
13824,13824,13824,21.761,242802
14080,14080,14080,22.5014,248101
14336,14336,14336,25.004,235670
14592,14592,14592,28.0115,221839
14848,14848,14848,28.8717,226758
15104,15104,15104,29.6673,232288
15360,15360,15360,29.9663,241863
15616,15616,15616,31.9447,238419
15872,15872,15872,33.1643,241132
16128,16128,16128,34.6194,242355
16384,16384,16384,35.8431,245406
16640,16640,16640,37.7293,244237
16896,16896,16896,39.295,245496
17152,17152,17152,41.3164,244260
17408,17408,17408,44.1242,239111
17664,17664,17664,46.7425,235822
17920,17920,17920,47.3876,242873
18176,18176,18176,47.1398,254763
18432,18432,18432,49.0824,255165
18688,18688,18688,52.2783,249688
18944,18944,18944,54.9745,247334
19200,19200,19200,56.6866,249720
19456,19456,19456,59.0787,249322
19712,19712,19712,65.3087,234559
19968,19968,19968,63.742,249809
20224,20224,20224,67.1846,246241
20480,20480,20480,68.8118,249665
