m,n,k,cublas_time_ms,cublas_gflops
256,256,256,0.0124928,2685.9
512,512,512,0.00833536,32204.4
768,768,768,0.010752,84260.6
1024,1024,1024,0.0153805,139624
1280,1280,1280,0.022487,186521
1536,1536,1536,0.0341811,212040
1792,1792,1792,0.0591462,194588
2048,2048,2048,0.0704512,243855
2304,2304,2304,0.0950477,257357
2560,2560,2560,0.132506,253230
2816,2816,2816,0.18262,244556
3072,3072,3072,0.234107,247673
3328,3328,3328,0.299213,246377
3584,3584,3584,0.335012,274836
3840,3840,3840,0.436777,259277
4096,4096,4096,0.505754,271751
4352,4352,4352,0.612495,269150
4608,4608,4608,0.700703,279276
4864,4864,4864,0.855859,268911
5120,5120,5120,1.03207,260094
5376,5376,5376,1.25223,248156
5632,5632,5632,1.33845,266941
5888,5888,5888,1.58614,257391
6144,6144,6144,1.84611,251262
6400,6400,6400,2.11773,247570
6656,6656,6656,2.39974,245757
6912,6912,6912,2.81102,234951
7168,7168,7168,3.1958,230486
7424,7424,7424,3.26773,250437
7680,7680,7680,3.62297,250062
7936,7936,7936,4.01754,248814
8192,8192,8192,4.35464,252492
8448,8448,8448,4.87752,247225
8704,8704,8704,6.07293,217164
8960,8960,8960,6.28478,228910
9216,9216,9216,6.14423,254795
9472,9472,9472,6.80507,249760
9728,9728,9728,7.35918,250191
9984,9984,9984,8.02961,247884
10240,10240,10240,8.61057,249401
10496,10496,10496,9.29483,248806
10752,10752,10752,9.88271,251549
11008,11008,11008,10.8116,246755
11264,11264,11264,11.3219,252458
11520,11520,11520,12.2722,249152
11776,11776,11776,13.1111,249105
12032,12032,12032,13.8707,251156
12288,12288,12288,14.7762,251137
12544,12544,12544,15.7886,250031
12800,12800,12800,16.7167,250905
13056,13056,13056,17.9271,248285
13312,13312,13312,18.8825,249862
13568,13568,13568,20.0106,249641
13824,13824,13824,21.0459,251052
14080,14080,14080,22.4262,248933
14336,14336,14336,23.6157,249525
14592,14592,14592,24.9416,249144
14848,14848,14848,26.289,249035
15104,15104,15104,29.2208,235838
15360,15360,15360,30.8912,234622
15616,15616,15616,32.5064,234299
15872,15872,15872,34.1098,234448
16128,16128,16128,35.8604,233968
16384,16384,16384,37.5272,234393
16640,16640,16640,39.595,232728
16896,16896,16896,41.4734,232601
17152,17152,17152,43.6695,231098
17408,17408,17408,45.4238,232270
17664,17664,17664,47.6689,231239
17920,17920,17920,49.8854,230712
18176,18176,18176,50.4207,238186
18432,18432,18432,52.5855,238167
18688,18688,18688,54.4273,239829
18944,18944,18944,56.9347,238818
19200,19200,19200,59.5642,237656
19456,19456,19456,61.8494,238152
19712,19712,19712,64.6847,236821
19968,19968,19968,67.3362,236475
20224,20224,20224,70.591,234359
20480,20480,20480,73.5323,233637
