m,n,k,cublas_time_ms,cublas_gflops
256,256,256,0.0120013,2795.9
512,512,512,0.010711,25061.6
768,768,768,0.0192307,47110.5
1024,1024,1024,0.0325018,66072.8
1280,1280,1280,0.0395264,106114
1536,1536,1536,0.0783155,92545.6
1792,1792,1792,0.0993485,115846
2048,2048,2048,0.170373,100837
2304,2304,2304,0.19329,126552
2560,2560,2560,0.261632,128250
2816,2816,2816,0.374743,119178
3072,3072,3072,0.460616,125879
3328,3328,3328,0.607396,121369
3584,3584,3584,0.738673,124647
3840,3840,3840,0.964178,117454
4096,4096,4096,1.07768,127532
4352,4352,4352,1.40829,117059
4608,4608,4608,1.55273,126029
4864,4864,4864,1.88035,122397
5120,5120,5120,2.27314,118090
5376,5376,5376,2.74235,113314
5632,5632,5632,3.07354,116246
5888,5888,5888,3.60684,113190
6144,6144,6144,3.88792,119307
6400,6400,6400,4.44522,117944
6656,6656,6656,4.97017,118658
6912,6912,6912,5.5877,118197
7168,7168,7168,6.24947,117864
7424,7424,7424,6.98552,117151
7680,7680,7680,7.68795,117843
7936,7936,7936,8.3705,119422
8192,8192,8192,9.22165,119232
8448,8448,8448,10.3901,116058
8704,8704,8704,11.1312,118480
8960,8960,8960,12.0812,119081
9216,9216,9216,13.1002,119503
9472,9472,9472,14.3911,118103
9728,9728,9728,15.4701,119017
9984,9984,9984,16.9979,117098
10240,10240,10240,18.1972,118012
10496,10496,10496,19.8892,116274
10752,10752,10752,21.0774,117945
11008,11008,11008,23.6392,112856
11264,11264,11264,25.2877,113031
11520,11520,11520,27.1995,112416
11776,11776,11776,28.9986,112628
12032,12032,12032,30.9277,112641
12288,12288,12288,32.9474,112630
12544,12544,12544,35.6962,110590
12800,12800,12800,37.4413,112024
13056,13056,13056,40.3071,110428
13312,13312,13312,42.7595,110338
13568,13568,13568,45.4651,109875
13824,13824,13824,48.0846,109882
14080,14080,14080,50.9715,109524
14336,14336,14336,53.9749,109175
14592,14592,14592,58.2778,106628
14848,14848,14848,64.7217,101154
15104,15104,15104,75.4323,91358.5
15360,15360,15360,87.3591,82965.1
15616,15616,15616,103.152,73834.8
15872,15872,15872,121.997,65550.3
16128,16128,16128,138.981,60369.3
16384,16384,16384,162.147,54247.7
16640,16640,16640,182.553,50477.9
16896,16896,16896,181.308,53206.6
17152,17152,17152,215.064,46925.2
17408,17408,17408,205.099,51441.4
17664,17664,17664,239.827,45961.9
17920,17920,17920,227.753,50533.5
18176,18176,18176,257.582,46623.9
18432,18432,18432,288.849,43358.7
18688,18688,18688,258.888,50420.5
18944,18944,18944,295.583,46000.7
19200,19200,19200,340.968,41516.4
19456,19456,19456,290.578,50690.7
19712,19712,19712,356.718,42943.5
19968,19968,19968,318.186,50044.1
20224,20224,20224,395.117,41870.3
20480,20480,20480,334.374,51379.3
