m,n,k,hipblas_time_ms,hipblas_gflops
256,256,256,0.02112,1588.75
512,512,512,0.051518,5210.52
768,768,768,0.119519,7580.13
1024,1024,1024,0.289597,7415.42
1280,1280,1280,0.412316,10172.5
1536,1536,1536,0.681913,10628.6
1792,1792,1792,1.08975,10561.3
2048,2048,2048,1.48335,11581.8
2304,2304,2304,2.01726,12125.9
2560,2560,2560,2.73822,12254.1
2816,2816,2816,3.78557,11797.7
3072,3072,3072,5.01356,11565.1
3328,3328,3328,6.66043,11068.2
3584,3584,3584,8.51385,10814.5
3840,3840,3840,10.4246,10863.4
4096,4096,4096,12.7967,10740.2
4352,4352,4352,15.4368,10679.2
4608,4608,4608,18.3613,10657.7
4864,4864,4864,21.4408,10734.2
5120,5120,5120,24.9267,10769
5376,5376,5376,28.9823,10722
5632,5632,5632,33.517,10659.9
5888,5888,5888,38.3957,10632.9
6144,6144,6144,43.7862,10593.7
