m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.03776,888.624
512,512,512,0.03136,8559.8
768,768,768,0.05648,16040.5
1024,1024,1024,0.098081,21895
1280,1280,1280,0.174721,24005.7
1536,1536,1536,0.199522,36325.6
1792,1792,1792,0.364964,31535.1
2048,2048,2048,0.463685,37050.7
2304,2304,2304,0.630247,38812.1
2560,2560,2560,0.904011,37117.3
2816,2816,2816,1.17394,38043.8
3072,3072,3072,1.49346,38824
3328,3328,3328,1.95955,37620.5
3584,3584,3584,2.37715,38732.7
3840,3840,3840,2.8354,39940.2
4096,4096,4096,3.36996,40783.5
4352,4352,4352,4.30182,38321.7
4608,4608,4608,5.13351,38120
4864,4864,4864,5.93912,38751.5
5120,5120,5120,6.69352,40103.8
5376,5376,5376,8.04218,38639.7
5632,5632,5632,8.75979,40787.2
5888,5888,5888,9.80973,41617.5
6144,6144,6144,12.0326,38549.9
6400,6400,6400,13.1986,39723.1
6656,6656,6656,15.0423,39206.4
6912,6912,6912,15.8952,41550.3
7168,7168,7168,18.7886,39204
7424,7424,7424,21.1505,38692.2
7680,7680,7680,22.6342,40026.5
7936,7936,7936,25.1379,39765.4
8192,8192,8192,26.7959,41032.9
8448,8448,8448,29.5151,40855.2
8704,8704,8704,32.2929,40839.4
8960,8960,8960,35.2576,40803.9
9216,9216,9216,38.132,41055.2
9472,9472,9472,41.4989,40956.1
9728,9728,9728,45.5228,40445.6
9984,9984,9984,49.0888,40547.2
10240,10240,10240,52.7796,40687.8
10496,10496,10496,56.5385,40903.2
10752,10752,10752,61.3099,40547.8
11008,11008,11008,66.2971,40240.2
11264,11264,11264,70.8273,40355.9
11520,11520,11520,75.352,40578.2
11776,11776,11776,81.2116,40216.6
12032,12032,12032,86.9411,40069.9
12288,12288,12288,90.2267,41128.1
12544,12544,12544,96.2122,41030.6
12800,12800,12800,102.058,41097.3
13056,13056,13056,108.52,41015.9
13312,13312,13312,114.972,41036.3
13568,13568,13568,122.008,40943.9
13824,13824,13824,128.414,41145.1
14080,14080,14080,135.85,41094.1
14336,14336,14336,143.947,40936.5
14592,14592,14592,159.267,39016.5
14848,14848,14848,168.126,38940.3
15104,15104,15104,176.171,39117.5
15360,15360,15360,183.999,39390.2
15616,15616,15616,186.554,40825.7
15872,15872,15872,196.775,40640.1
16128,16128,16128,206.225,40684.7
16384,16384,16384,216.475,40633.3
16640,16640,16640,227.401,40522.6
16896,16896,16896,238.951,40371.3
17152,17152,17152,250.399,40303.4
17408,17408,17408,261.694,40316.5
17664,17664,17664,274.105,40214.2
17920,17920,17920,286.926,40111.9
18176,18176,18176,301.093,39886.3
18432,18432,18432,312.303,40102.5
18688,18688,18688,327.53,39853.5
18944,18944,18944,341.28,39841.3
19200,19200,19200,356.365,39722.7
19456,19456,19456,372.633,39528.4
19712,19712,19712,385.766,39709.8
19968,19968,19968,404.018,39412.4
20224,20224,20224,420.372,39354.7
20480,20480,20480,440.002,39045
