m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.03392,989.223
512,512,512,0.085438,3141.87
768,768,768,0.160478,5645.44
1024,1024,1024,0.313756,6844.44
1280,1280,1280,0.517755,8100.94
1536,1536,1536,0.997271,7267.59
1792,1792,1792,1.27199,9048.17
2048,2048,2048,1.7643,9737.47
2304,2304,2304,2.17006,11272.1
2560,2560,2560,3.16589,10598.7
2816,2816,2816,4.10285,10885.4
3072,3072,3072,5.03836,11508.1
3328,3328,3328,7.04602,10462.5
3584,3584,3584,9.06712,10154.6
3840,3840,3840,10.8054,10480.6
4096,4096,4096,12.9895,10580.8
4352,4352,4352,15.5842,10578.2
4608,4608,4608,18.2246,10737.6
4864,4864,4864,21.9069,10505.8
5120,5120,5120,25.5652,10500
5376,5376,5376,29.1281,10668.3
5632,5632,5632,33.6941,10603.9
5888,5888,5888,37.7174,10824.1
6144,6144,6144,43.5603,10648.6
6400,6400,6400,53.6186,9778.1
6656,6656,6656,60.4221,9760.55
6912,6912,6912,67.9725,9716.45
7168,7168,7168,78.6446,9366.02
7424,7424,7424,84.5497,9679.03
7680,7680,7680,93.385,9701.44
7936,7936,7936,102.668,9736.45
8192,8192,8192,109.607,10031.4
8448,8448,8448,119.168,10118.8
8704,8704,8704,130.11,10136.2
8960,8960,8960,142.372,10104.9
9216,9216,9216,156.915,9976.81
9472,9472,9472,167.856,10125.5
9728,9728,9728,181.64,10136.5
9984,9984,9984,196.504,10129.1
10240,10240,10240,213.643,10051.7
10496,10496,10496,229.717,10067.2
10752,10752,10752,246.237,10095.9
11008,11008,11008,266.046,10027.6
11264,11264,11264,291.547,9803.9
11520,11520,11520,305.774,9999.69
11776,11776,11776,324.938,10051.3
12032,12032,12032,349.245,9975.02
12288,12288,12288,378.422,9806.11
12544,12544,12544,397.53,9930.44
12800,12800,12800,419.196,10005.6
13056,13056,13056,448.572,9922.67
13312,13312,13312,485.342,9721.03
13568,13568,13568,507.096,9851.17
13824,13824,13824,530.213,9965.09
14080,14080,14080,568.469,9820.45
14336,14336,14336,606.505,9715.82
14592,14592,14592,632.62,9822.72
14848,14848,14848,665.593,9836.15
15104,15104,15104,699.244,9855.46
15360,15360,15360,737.192,9831.58
15616,15616,15616,778.136,9787.78
15872,15872,15872,820.698,9744.1
16128,16128,16128,806.793,10399.4
16384,16384,16384,833.07,10558.6
16640,16640,16640,882.181,10445.6
16896,16896,16896,929.982,10373.1
17152,17152,17152,971.325,10389.9
17408,17408,17408,1010.65,10439.4
17664,17664,17664,1056.43,10434.1
17920,17920,17920,1105.69,10409
18176,18176,18176,1159.74,10355.3
18432,18432,18432,1195.58,10475.4
18688,18688,18688,1261.8,10344.9
18944,18944,18944,1307.23,10401.5
19200,19200,19200,1366.82,10356.7
19456,19456,19456,1416.8,10396.4
19712,19712,19712,1484.68,10317.8
19968,19968,19968,1538.29,10351.3
20224,20224,20224,1603.29,10318.5
20480,20480,20480,1645.75,10438.9
