m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.03664,915.787
512,512,512,0.076478,3509.97
768,768,768,0.137918,6568.9
1024,1024,1024,0.274878,7812.5
1280,1280,1280,0.429757,9759.71
1536,1536,1536,0.572157,12667.4
1792,1792,1792,0.820476,14027.4
2048,2048,2048,1.42207,12080.9
2304,2304,2304,1.46367,16712.2
2560,2560,2560,2.15999,15534.5
2816,2816,2816,2.81103,15887.8
3072,3072,3072,3.22143,17998.9
3328,3328,3328,4.19214,17585.1
3584,3584,3584,5.05214,18224.6
3840,3840,3840,6.48253,17469.4
4096,4096,4096,8.00749,17163.8
4352,4352,4352,9.23788,17845.3
4608,4608,4608,10.7561,18193.3
4864,4864,4864,12.8939,17849.6
5120,5120,5120,15.0211,17870.6
5376,5376,5376,16.9963,18283.3
5632,5632,5632,20.007,17858.2
5888,5888,5888,22.1886,18399.4
6144,6144,6144,26.3532,17601.5
6400,6400,6400,28.0559,18687.3
6656,6656,6656,31.893,18491.6
6912,6912,6912,35.9445,18374.2
7168,7168,7168,53.7219,13711.1
7424,7424,7424,56.8841,14386.4
7680,7680,7680,47.8971,18914.9
7936,7936,7936,53.55,18667
8192,8192,8192,60.9524,18038.9
8448,8448,8448,64.7167,18632.7
8704,8704,8704,70.3644,18742.8
8960,8960,8960,78.1528,18408.1
9216,9216,9216,83.064,18847.1
9472,9472,9472,90.1368,18856.1
9728,9728,9728,98.3124,18728
9984,9984,9984,104.947,18965.8
10240,10240,10240,117.678,18248.8
10496,10496,10496,124.795,18531.3
10752,10752,10752,130.805,19005.2
11008,11008,11008,140.554,18980.7
11264,11264,11264,150.827,18950.8
11520,11520,11520,163.596,18690.2
11776,11776,11776,174.568,18709.4
12032,12032,12032,182.995,19037.2
12288,12288,12288,205.902,18022.4
12544,12544,12544,210.654,18740
12800,12800,12800,221.321,18951.2
13056,13056,13056,233.442,19066.9
13312,13312,13312,251.385,18768.1
13568,13568,13568,412.611,12107
13824,13824,13824,314.23,16814.5
14080,14080,14080,446.179,12512.1
14336,14336,14336,319.082,18467.6
14592,14592,14592,527.166,11787.6
14848,14848,14848,397.528,16469
15104,15104,15104,610.851,11281.6
15360,15360,15360,393.953,18397.5
15616,15616,15616,695.615,10948.9
15872,15872,15872,500.532,15976.9
16128,16128,16128,444.593,18871.6
16384,16384,16384,506.816,17355.6
16640,16640,16640,482.855,19084.2
16896,16896,16896,506.454,19047.7
17152,17152,17152,532.581,18949.1
17408,17408,17408,1564.85,6742.22
17664,17664,17664,576.14,19132.4
17920,17920,17920,771.433,14919.2
18176,18176,18176,1167.68,10285
18432,18432,18432,694.438,18034.9
18688,18688,18688,1297.56,10059.9
18944,18944,18944,1248.28,10892.6
19200,19200,19200,1709.05,8282.84
19456,19456,19456,997.637,14764.5
19712,19712,19712,1915.31,7998.03
19968,19968,19968,1503.13,10593.4
20224,20224,20224,1960.9,8436.74
20480,20480,20480,982.105,17492.9
