m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.01984,1691.25
512,512,512,0.02624,10230
768,768,768,0.04304,21049.5
1024,1024,1024,0.07504,28617.9
1280,1280,1280,0.13728,30552.9
1536,1536,1536,0.22528,32172.2
1792,1792,1792,0.34352,33503.6
2048,2048,2048,0.44928,38238.7
2304,2304,2304,0.66944,36539.8
2560,2560,2560,0.91856,36529.4
2816,2816,2816,1.23312,36217.8
3072,3072,3072,1.69152,34278.1
3328,3328,3328,2.29168,32168.1
3584,3584,3584,2.86464,32141.3
3840,3840,3840,3.58608,31579.4
4096,4096,4096,3.42576,40119.2
4352,4352,4352,4.12992,39916.7
4608,4608,4608,5.20272,37612.9
4864,4864,4864,5.61968,40954.2
5120,5120,5120,6.5464,41005
5376,5376,5376,7.88336,39418.1
5632,5632,5632,8.82752,40474.3
5888,5888,5888,9.95504,41010
6144,6144,6144,11.244,41253.7
6400,6400,6400,13.0848,40068.5
6656,6656,6656,14.413,40918.2
6912,6912,6912,16.1051,41008.8
7168,7168,7168,18.9486,38872.8
7424,7424,7424,21.0653,38848.7
7680,7680,7680,22.4711,40317.2
7936,7936,7936,24.4431,40895.9
8192,8192,8192,26.633,41283.8
8448,8448,8448,35.545,33924.5
8704,8704,8704,32.4264,40671.3
8960,8960,8960,34.8941,41228.9
9216,9216,9216,37.4751,41774.9
9472,9472,9472,41.4631,40991.5
9728,9728,9728,44.2568,41602.6
9984,9984,9984,48.5909,40962.7
10240,10240,10240,51.5248,41678.6
10496,10496,10496,56.2448,41116.8
10752,10752,10752,59.421,41836.7
11008,11008,11008,64.3581,41452.6
11264,11264,11264,69.5365,41105
11520,11520,11520,73.0522,41855.7
11776,11776,11776,78.4479,41633.4
12032,12032,12032,84.078,41434.4
12288,12288,12288,89.7791,41333.1
12544,12544,12544,95.8276,41195.3
12800,12800,12800,101.906,41158.7
13056,13056,13056,108.162,41151.4
13312,13312,13312,120.46,39166.6
13568,13568,13568,129.309,38632.1
13824,13824,13824,128.046,41263.4
14080,14080,14080,135.104,41320.9
14336,14336,14336,142.162,41450.6
14592,14592,14592,157.499,39454.4
14848,14848,14848,156.96,41710.3
15104,15104,15104,172.817,39876.8
15360,15360,15360,174.856,41449.9
15616,15616,15616,182.943,41631.7
15872,15872,15872,191.199,41825.3
16128,16128,16128,202.053,41524.7
16384,16384,16384,211.112,41665.5
16640,16640,16640,222.046,41499.9
16896,16896,16896,231.053,41751.3
17152,17152,17152,242.852,41555.9
17408,17408,17408,252.31,41816
17664,17664,17664,264.641,41652.4
17920,17920,17920,277.063,41539.9
18176,18176,18176,295.591,40628.7
18432,18432,18432,308.724,40567.3
18688,18688,18688,321.89,40551.9
18944,18944,18944,327.153,41561.8
19200,19200,19200,349.463,40507.2
19456,19456,19456,355.039,41487.2
19712,19712,19712,369.625,41444
19968,19968,19968,381.15,41777.1
20224,20224,20224,399.157,41446.4
20480,20480,20480,414.135,41483.7
