m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.03984,842.23
512,512,512,0.086078,3118.51
768,768,768,0.126558,7158.53
1024,1024,1024,0.211358,10160.4
1280,1280,1280,0.337598,12424
1536,1536,1536,0.451197,16063.4
1792,1792,1792,0.647357,17778.7
2048,2048,2048,0.835036,20573.8
2304,2304,2304,1.10847,22067.4
2560,2560,2560,1.33951,25049.7
2816,2816,2816,1.78303,25047.7
3072,3072,3072,2.27023,25540.1
3328,3328,3328,2.94783,25007.9
3584,3584,3584,3.43503,26804.3
3840,3840,3840,4.39758,25751.9
4096,4096,4096,5.33742,25750.1
4352,4352,4352,6.34814,25968.7
4608,4608,4608,7.3939,26466.4
4864,4864,4864,9.21277,24981.6
5120,5120,5120,9.76397,27492.5
5376,5376,5376,11.7548,26435.7
5632,5632,5632,13.4406,26582.7
5888,5888,5888,15.446,26431.2
6144,6144,6144,17.2964,26818
6400,6400,6400,20.4033,25696.2
6656,6656,6656,21.4235,27528.4
6912,6912,6912,24.6105,26836.2
7168,7168,7168,27.0897,27190.7
7424,7424,7424,30.6633,26688.6
7680,7680,7680,33.3261,27185
7936,7936,7936,37.8511,26409.3
8192,8192,8192,44.0437,24964.1
8448,8448,8448,44.6485,27007.5
8704,8704,8704,48.9803,26925.6
8960,8960,8960,59.2538,24279.4
9216,9216,9216,58.0787,26955.1
9472,9472,9472,63.8237,26630.1
9728,9728,9728,68.8537,26740.7
9984,9984,9984,80.1617,24830
10240,10240,10240,80.335,26731.6
10496,10496,10496,86.262,26809.1
10752,10752,10752,91.5037,27168.1
11008,11008,11008,99.9376,26694.8
11264,11264,11264,105.653,27053.6
11520,11520,11520,112.849,27095
11776,11776,11776,122.212,26724.5
12032,12032,12032,129.594,26881.9
12288,12288,12288,136.46,27193.6
12544,12544,12544,188.037,20994
12800,12800,12800,198.335,21147.5
13056,13056,13056,211.799,21015.4
13312,13312,13312,224.227,21041.3
13568,13568,13568,236.908,21086.2
13824,13824,13824,249.981,21136
14080,14080,14080,265.042,21063.2
14336,14336,14336,278.752,21139.6
14592,14592,14592,294.536,21097.8
14848,14848,14848,310.656,21074.3
15104,15104,15104,327.217,21060.6
15360,15360,15360,342.33,21171.9
15616,15616,15616,361.462,21070.6
15872,15872,15872,379.302,21083.4
16128,16128,16128,397.49,21107.9
16384,16384,16384,416.5,21119.1
16640,16640,16640,436.667,21102.8
16896,16896,16896,456.229,21144.5
17152,17152,17152,478.008,21112.5
17408,17408,17408,499.847,21107.6
17664,17664,17664,522.542,21094.8
17920,17920,17920,543.911,21160
18176,18176,18176,569.075,21103.6
18432,18432,18432,593.218,21112.2
18688,18688,18688,617.62,21134.8
18944,18944,18944,642.847,21151.3
19200,19200,19200,670.01,21127.7
19456,19456,19456,696.388,21151.4
19712,19712,19712,724.649,21139.5
19968,19968,19968,753.817,21123.6
20224,20224,20224,783.405,21117.6
20480,20480,20480,810.997,21183.7
