m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.048,699.051
512,512,512,0.142398,1885.11
768,768,768,0.219043,4136.04
1024,1024,1024,0.662074,3243.57
1280,1280,1280,1.03151,4066.17
1536,1536,1536,1.49423,4850.51
1792,1792,1792,2.0595,5588.33
2048,2048,2048,3.24237,5298.55
2304,2304,2304,4.4462,5501.59
2560,2560,2560,6.72522,4989.34
2816,2816,2816,9.18457,4862.61
3072,3072,3072,11.9061,4869.93
3328,3328,3328,14.6972,5015.87
3584,3584,3584,18.6058,4948.65
3840,3840,3840,21.1721,5348.83
4096,4096,4096,26.9983,5090.64
4352,4352,4352,32.7935,5027
4608,4608,4608,37.4375,5227.1
4864,4864,4864,45.8192,5023.01
5120,5120,5120,53.4,5026.88
5376,5376,5376,59.7734,5198.76
5632,5632,5632,71.5201,4995.63
5888,5888,5888,81.7294,4995.23
6144,6144,6144,93.6525,4952.95
6400,6400,6400,104.213,5030.92
6656,6656,6656,119.799,4922.86
6912,6912,6912,128.997,5119.89
7168,7168,7168,147.083,5007.96
7424,7424,7424,165.402,4947.69
7680,7680,7680,177.808,5095.23
7936,7936,7936,199.868,5001.4
8192,8192,8192,221.315,4968.08
8448,8448,8448,236.752,5093.29
8704,8704,8704,268.266,4916.1
8960,8960,8960,286.509,5021.3
9216,9216,9216,316.901,4940.08
9472,9472,9472,336.811,5046.26
9728,9728,9728,378.903,4859.29
9984,9984,9984,393.155,5062.68
10240,10240,10240,442.611,4851.85
10496,10496,10496,462.191,5003.57
10752,10752,10752,507.182,4901.56
11008,11008,11008,532.094,5013.8
11264,11264,11264,588.726,4855.06
11520,11520,11520,608.383,5025.86
11776,11776,11776,674.091,4845.13
12032,12032,12032,702.61,4958.26
12288,12288,12288,776.013,4781.94
12544,12544,12544,795.536,4962.25
12800,12800,12800,871.945,4810.29
13056,13056,13056,893.24,4983.02
13312,13312,13312,980.283,4812.92
13568,13568,13568,1016.18,4915.92
13824,13824,13824,1095.1,4824.77
14080,14080,14080,1134.89,4919.1
14336,14336,14336,1241.09,4748.01
14592,14592,14592,1257.3,4942.37
14848,14848,14848,1368.93,4782.46
15104,15104,15104,1408.53,4892.6
15360,15360,15360,1509.32,4802
15616,15616,15616,1553.29,4903.28
15872,15872,15872,1630.01,4906.08
16128,16128,16128,1709.69,4907.44
16384,16384,16384,1784.48,4929.23
16640,16640,16640,1880.85,4899.33
16896,16896,16896,1959.29,4923.59
17152,17152,17152,2059.21,4900.89
17408,17408,17408,2147.29,4913.44
17664,17664,17664,2248.16,4903.09
17920,17920,17920,2347.59,4902.56
18176,18176,18176,2463.85,4874.29
18432,18432,18432,2548.21,4914.86
18688,18688,18688,2677.54,4875.09
18944,18944,18944,2783.86,4884.25
19200,19200,19200,2904.09,4874.44
19456,19456,19456,3011.19,4891.62
19712,19712,19712,3143.87,4872.56
19968,19968,19968,3246.63,4904.57
20224,20224,20224,3394.61,4873.51
20480,20480,20480,3508.26,4896.98
