m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.03904,859.489
512,512,512,0.082078,3270.49
768,768,768,0.142545,6355.67
1024,1024,1024,0.259146,8286.77
1280,1280,1280,0.371125,11301.6
1536,1536,1536,0.461509,15704.5
1792,1792,1792,0.651395,17668.5
2048,2048,2048,0.852161,20160.4
2304,2304,2304,1.14011,21455.1
2560,2560,2560,1.35736,24720.4
2816,2816,2816,1.83744,24306.1
3072,3072,3072,2.34584,24716.9
3328,3328,3328,3.03438,24294.6
3584,3584,3584,3.54311,25986.6
3840,3840,3840,4.53817,24954.2
4096,4096,4096,5.51867,24904.4
4352,4352,4352,6.58221,25045.2
4608,4608,4608,7.67711,25490
4864,4864,4864,9.58294,24016.6
5120,5120,5120,10.1523,26440.8
5376,5376,5376,12.1918,25488.3
5632,5632,5632,13.9434,25624.1
5888,5888,5888,15.9115,25657.9
6144,6144,6144,17.9937,25778.8
6400,6400,6400,21.1759,24758.7
6656,6656,6656,22.2406,26516.9
6912,6912,6912,25.5894,25809.6
7168,7168,7168,28.0791,26232.6
7424,7424,7424,31.4318,26036.1
7680,7680,7680,34.5105,26252
7936,7936,7936,39.1845,25510.6
8192,8192,8192,46.4528,23669.4
8448,8448,8448,46.2555,26069.3
8704,8704,8704,49.5714,26604.5
8960,8960,8960,60.5029,23778.1
9216,9216,9216,60.1507,26026.6
9472,9472,9472,66.4029,25595.8
9728,9728,9728,70.0657,26278.2
9984,9984,9984,78.4025,25387.1
10240,10240,10240,80.5797,26650.4
10496,10496,10496,89.2112,25922.8
10752,10752,10752,94.6205,26273.2
11008,11008,11008,103.461,25785.6
11264,11264,11264,109.211,26172.3
11520,11520,11520,116.744,26191.1
11776,11776,11776,126.353,25848.7
12032,12032,12032,134.135,25971.7
12288,12288,12288,141.161,26288.1
12544,12544,12544,194.746,20270.8
12800,12800,12800,205.248,20435.3
13056,13056,13056,219.392,20288
13312,13312,13312,232.334,20307.1
13568,13568,13568,245.452,20352.1
13824,13824,13824,259.204,20384
14080,14080,14080,274.579,20331.6
14336,14336,14336,288.696,20411.4
14592,14592,14592,305.079,20368.7
14848,14848,14848,321.826,20342.9
15104,15104,15104,338.944,20331.9
15360,15360,15360,354.651,20436.3
15616,15616,15616,374.242,20351
15872,15872,15872,392.666,20365.8
16128,16128,16128,411.533,20387.7
16384,16384,16384,430.842,20416
16640,16640,16640,452.176,20379
16896,16896,16896,472.317,20424.3
17152,17152,17152,494.508,20408
17408,17408,17408,517.451,20389.5
17664,17664,17664,540.798,20382.7
17920,17920,17920,562.931,20445.1
18176,18176,18176,589.295,20379.4
18432,18432,18432,614.008,20397.3
18688,18688,18688,639.343,20416.7
18944,18944,18944,665.484,20431.8
19200,19200,19200,693.66,20407.4
19456,19456,19456,720.694,20438.1
19712,19712,19712,749.829,20429.6
19968,19968,19968,780.145,20410.7
20224,20224,20224,810.662,20407.6
20480,20480,20480,840.136,20448.9
