m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.01376,2438.55
512,512,512,0.01728,15534.5
768,768,768,0.0248,36531
1024,1024,1024,0.02912,73746
1280,1280,1280,0.13936,30096.9
1536,1536,1536,0.05328,136031
1792,1792,1792,0.07792,147705
2048,2048,2048,0.08512,201831
2304,2304,2304,0.17856,136991
2560,2560,2560,0.20288,165391
2816,2816,2816,0.19824,225287
3072,3072,3072,0.2144,270439
3328,3328,3328,0.3128,235675
3584,3584,3584,0.34384,267780
3840,3840,3840,0.34752,325870
4096,4096,4096,0.452161,303960
4352,4352,4352,0.503361,327504
4608,4608,4608,0.684321,285961
4864,4864,4864,0.660321,348542
5120,5120,5120,0.681121,394108
5376,5376,5376,0.833602,372777
5632,5632,5632,0.997602,358146
5888,5888,5888,1.02768,397260
6144,6144,6144,1.2136,382214
6400,6400,6400,1.32032,397091
6656,6656,6656,1.50928,390750
6912,6912,6912,1.87664,351932
7168,7168,7168,1.84112,400075
7424,7424,7424,2.25185,363417
7680,7680,7680,2.22705,406803
7936,7936,7936,2.48769,401827
8192,8192,8192,3.43825,319788
8448,8448,8448,2.84145,424377
8704,8704,8704,3.19185,413185
8960,8960,8960,4.07489,353052
9216,9216,9216,4.11777,380185
9472,9472,9472,4.89873,346954
9728,9728,9728,4.56513,403318
9984,9984,9984,4.89489,406631
10240,10240,10240,4.93009,435587
10496,10496,10496,5.55665,416187
10752,10752,10752,5.99537,414650
11008,11008,11008,6.45377,413372
11264,11264,11264,6.77954,421607
11520,11520,11520,7.2581,421274
11776,11776,11776,7.71698,423230
12032,12032,12032,8.42418,413538
12288,12288,12288,8.1301,456434
12544,12544,12544,14.0991,279993
12800,12800,12800,14.8572,282309
13056,13056,13056,15.6082,285173
13312,13312,13312,16.3943,287785
13568,13568,13568,17.6682,282739
13824,13824,13824,18.5866,284270
14080,14080,14080,19.3724,288174
14336,14336,14336,20.7335,284212
14592,14592,14592,21.6293,287297
14848,14848,14848,23.0943,283484
15104,15104,15104,24.0119,286998
15360,15360,15360,24.9556,290426
15616,15616,15616,26.4775,287649
15872,15872,15872,28.0377,285222
16128,16128,16128,29.078,288541
16384,16384,16384,67.7769,129780
16640,16640,16640,31.9898,288057
16896,16896,16896,33.4698,288223
17152,17152,17152,35.2474,286317
17408,17408,17408,36.3418,290315
17664,17664,17664,38.1301,289087
17920,17920,17920,40.2238,286129
18176,18176,18176,41.8241,287143
18432,18432,18432,43.1268,290402
18688,18688,18688,45.0751,289589
18944,18944,18944,47.2332,287871
19200,19200,19200,49.1402,288069
19456,19456,19456,51.0329,288629
19712,19712,19712,53.6806,285368
19968,19968,19968,55.2667,288118
20224,20224,20224,57.7847,286298
20480,20480,20480,59.1791,290303
