m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.038238,877.515
512,512,512,0.081758,3283.29
768,768,768,0.126558,7158.53
1024,1024,1024,0.273278,7858.24
1280,1280,1280,0.313758,13368
1536,1536,1536,0.471517,15371.1
1792,1792,1792,0.607516,18944.6
2048,2048,2048,0.839036,20475.7
2304,2304,2304,1.02496,23865.6
2560,2560,2560,1.23743,27116.1
2816,2816,2816,1.63647,27291
3072,3072,3072,1.76159,32914.6
3328,3328,3328,2.33247,31605.6
3584,3584,3584,2.87023,32078.8
3840,3840,3840,3.62031,31280.8
4096,4096,4096,4.66238,29478.3
4352,4352,4352,6.71805,24538.8
4608,4608,4608,6.68445,29275.3
4864,4864,4864,8.42573,27315.1
5120,5120,5120,9.55004,28108.3
5376,5376,5376,11.0601,28096.2
5632,5632,5632,12.8334,27840.5
5888,5888,5888,14.4823,28190
6144,6144,6144,16.2966,28463.4
6400,6400,6400,18.4238,28457.1
6656,6656,6656,20.0019,29484.9
6912,6912,6912,22.3745,29518.1
7168,7168,7168,25.9602,28373.7
7424,7424,7424,28.334,28882.6
7680,7680,7680,30.62,29587.5
7936,7936,7936,34.7492,28766.7
8192,8192,8192,42.845,25662.6
8448,8448,8448,41.6418,28957.6
8704,8704,8704,44.587,29578.6
8960,8960,8960,48.4779,29676.3
9216,9216,9216,53.1248,29468.7
9472,9472,9472,57.4656,29576.5
9728,9728,9728,62.47,29473.3
9984,9984,9984,67.2842,29582.2
10240,10240,10240,77.2778,27789.1
10496,10496,10496,78.7152,29379.4
10752,10752,10752,83.6295,29726.1
11008,11008,11008,90.2453,29561.8
11264,11264,11264,102.855,27789.5
11520,11520,11520,107.09,28552
11776,11776,11776,113.948,28662.6
12032,12032,12032,118.458,29409
12288,12288,12288,135.634,27359.3
12544,12544,12544,140.503,28096.5
12800,12800,12800,147.171,28499.6
13056,13056,13056,157.983,28174.1
13312,13312,13312,164.173,28738.1
13568,13568,13568,179.766,27788.9
13824,13824,13824,187.419,28191.5
14080,14080,14080,201.226,27743
14336,14336,14336,208.379,28278.7
14592,14592,14592,217.744,28538.4
14848,14848,14848,226.597,28892.1
15104,15104,15104,238.575,28885.6
15360,15360,15360,254.267,28504.6
15616,15616,15616,264.56,28788.3
15872,15872,15872,278.782,28685.4
16128,16128,16128,291.989,28734.6
16384,16384,16384,325.032,27062.3
16640,16640,16640,324.629,28385.9
16896,16896,16896,338.331,28512.8
17152,17152,17152,350.416,28799.9
17408,17408,17408,364.668,28932
17664,17664,17664,380.728,28952.2
17920,17920,17920,399.81,28786.6
18176,18176,18176,416.906,28806.3
18432,18432,18432,457.995,27345.6
18688,18688,18688,451.605,28904.1
18944,18944,18944,468.707,29009.7
19200,19200,19200,485.364,29165.3
19456,19456,19456,505.317,29149.2
19712,19712,19712,530.178,28893.5
19968,19968,19968,544.817,29226.9
20224,20224,20224,571.247,28960.6
20480,20480,20480,634.77,27064.7
