m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.01888,1777.25
512,512,512,0.0256,10485.8
768,768,768,0.02816,32172.2
1024,1024,1024,0.03856,55692
1280,1280,1280,0.05568,75328.7
1536,1536,1536,0.11408,63532.2
1792,1792,1792,0.1376,83642.2
2048,2048,2048,0.1312,130944
2304,2304,2304,0.28192,86766.4
2560,2560,2560,0.30464,110145
2816,2816,2816,0.36656,121838
3072,3072,3072,0.44976,128918
3328,3328,3328,0.62544,117868
3584,3584,3584,0.67712,135978
3840,3840,3840,0.89952,125896
4096,4096,4096,0.96096,143023
4352,4352,4352,1.212,136017
4608,4608,4608,1.49632,130780
4864,4864,4864,1.64736,139708
5120,5120,5120,1.89136,141927
5376,5376,5376,2.24464,138440
5632,5632,5632,2.59488,137689
5888,5888,5888,2.97632,137168
6144,6144,6144,3.40064,136403
6400,6400,6400,3.9416,133014
6656,6656,6656,4.3504,135563
6912,6912,6912,4.91296,134431
7168,7168,7168,5.53296,133127
7424,7424,7424,6.11472,133834
7680,7680,7680,6.71744,134868
7936,7936,7936,7.43168,134508
8192,8192,8192,8.08464,136000
8448,8448,8448,8.99008,134131
8704,8704,8704,9.76544,135050
8960,8960,8960,10.5366,136537
9216,9216,9216,11.2211,139515
9472,9472,9472,12.4442,136581
9728,9728,9728,13.6947,134446
9984,9984,9984,14.6021,136310
10240,10240,10240,15.5637,137980
10496,10496,10496,16.8326,137388
10752,10752,10752,18.0989,137355
11008,11008,11008,19.1296,139460
11264,11264,11264,26.8231,106561
11520,11520,11520,21.7011,140898
11776,11776,11776,23.4111,139509
12032,12032,12032,25.0485,139079
12288,12288,12288,26.4261,140424
12544,12544,12544,28.2247,139865
12800,12800,12800,30.0341,139651
13056,13056,13056,31.7362,140251
13312,13312,13312,34.4125,137102
13568,13568,13568,35.3221,141427
13824,13824,13824,37.7317,140031
14080,14080,14080,40.1962,138884
14336,14336,14336,41.6584,141453
14592,14592,14592,43.3794,143249
14848,14848,14848,46.1794,141770
15104,15104,15104,47.8538,144009
15360,15360,15360,50.6583,143072
15616,15616,15616,52.5936,144813
15872,15872,15872,55.5524,143954
16128,16128,16128,58.4863,143456
16384,16384,16384,71.8869,122360
16640,16640,16640,63.8268,144373
16896,16896,16896,67.5968,142710
17152,17152,17152,70.8297,142482
17408,17408,17408,73.9932,142589
17664,17664,17664,77.6308,141992
17920,17920,17920,84.2964,136532
18176,18176,18176,87.1463,137808
18432,18432,18432,91.1604,137386
18688,18688,18688,92.9932,140368
18944,18944,18944,97.4383,139545
19200,19200,19200,102.585,137991
19456,19456,19456,106.443,138380
19712,19712,19712,118.955,128778
19968,19968,19968,121.769,130767
20224,20224,20224,132.423,124930
20480,20480,20480,125.687,136688
