m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.02288,1466.54
512,512,512,0.07248,3703.58
768,768,768,0.123838,7315.76
1024,1024,1024,0.245917,8732.55
1280,1280,1280,0.411516,10192.3
1536,1536,1536,0.693114,10456.8
1792,1792,1792,1.09711,10490.4
2048,2048,2048,1.48959,11533.3
2304,2304,2304,2.03006,12049.5
2560,2560,2560,2.76814,12121.7
2816,2816,2816,3.78797,11790.2
3072,3072,3072,4.99452,11609.1
3328,3328,3328,6.66858,11054.7
3584,3584,3584,8.42857,10924
3840,3840,3840,10.4521,10834.8
4096,4096,4096,12.8308,10711.7
4352,4352,4352,15.2591,10803.6
4608,4608,4608,18.0592,10836
4864,4864,4864,21.4795,10714.9
5120,5120,5120,24.9854,10743.7
5376,5376,5376,28.9559,10731.7
5632,5632,5632,33.2375,10749.5
5888,5888,5888,38.1202,10709.7
6144,6144,6144,43.2153,10733.6
6400,6400,6400,48.1468,10889.4
6656,6656,6656,54.0108,10919.2
6912,6912,6912,60.0197,11003.9
7168,7168,7168,67.0126,10991.8
7424,7424,7424,74.922,10922.8
7680,7680,7680,82.3152,11006.1
7936,7936,7936,92.0118,10864
8192,8192,8192,61.7941,17793.2
8448,8448,8448,66.1955,18216.4
8704,8704,8704,72.4801,18195.7
8960,8960,8960,79.1314,18180.5
9216,9216,9216,86.2412,18152.7
9472,9472,9472,93.3626,18204.6
9728,9728,9728,101.28,18179.2
9984,9984,9984,109.762,18134
10240,10240,10240,121.589,17661.9
10496,10496,10496,127.752,18102.3
10752,10752,10752,136.655,18191.7
11008,11008,11008,147.046,18142.8
11264,11264,11264,151.321,18889
11520,11520,11520,161.975,18877.3
11776,11776,11776,173.054,18873
12032,12032,12032,185.316,18798.8
12288,12288,12288,201.961,18374.1
12544,12544,12544,211.27,18685.3
12800,12800,12800,223.489,18767.4
13056,13056,13056,240.031,18543.6
13312,13312,13312,253.548,18608
13568,13568,13568,269.866,18511
13824,13824,13824,280.889,18810.3
14080,14080,14080,301.264,18530.6
14336,14336,14336,320.487,18386.7
14592,14592,14592,337.357,18419.8
14848,14848,14848,354.93,18445.5
15104,15104,15104,372.601,18495.3
15360,15360,15360,397.014,18255.7
15616,15616,15616,412.745,18452.6
15872,15872,15872,435.455,18364.6
16128,16128,16128,459.588,18255.9
16384,16384,16384,483.564,18190.1
16640,16640,16640,505.012,18246.8
16896,16896,16896,528.117,18266.4
17152,17152,17152,549.749,18357.4
17408,17408,17408,582.099,18125.1
17664,17664,17664,600.944,18342.7
17920,17920,17920,630.215,18262.3
18176,18176,18176,658.085,18249.2
18432,18432,18432,694.688,18028.4
18688,18688,18688,712.374,18323.6
18944,18944,18944,744.486,18263.7
19200,19200,19200,772.083,18334.5
19456,19456,19456,805.165,18293.9
19712,19712,19712,840.602,18223.5
19968,19968,19968,869.18,18319.9
20224,20224,20224,904.341,18293.6
20480,20480,20480,937.599,18323.3
