m,n,k,rocblas_time_ms,rocblas_gflops
256,256,256,0.024479,1370.74
512,512,512,0.034079,7876.86
768,768,768,0.055199,16412.8
1024,1024,1024,0.149755,14340
1280,1280,1280,0.246873,16989.7
1536,1536,1536,0.105276,68845.3
1792,1792,1792,0.256313,44902.8
2048,2048,2048,0.35183,48830
2304,2304,2304,0.264473,92490.3
2560,2560,2560,0.302072,111081
2816,2816,2816,0.551026,81050.5
3072,3072,3072,0.582225,99587
3328,3328,3328,0.716302,102916
3584,3584,3584,0.506067,181939
3840,3840,3840,0.876618,129185
4096,4096,4096,0.631664,217582
4352,4352,4352,1.22461,134617
4608,4608,4608,1.34685,145294
4864,4864,4864,1.65324,139211
5120,5120,5120,0.889418,301810
5376,5376,5376,2.04507,151950
5632,5632,5632,2.3145,154369
5888,5888,5888,2.59818,157132
6144,6144,6144,2.90665,159585
6400,6400,6400,3.2244,162600
6656,6656,6656,3.55336,165971
6912,6912,6912,4.08519,161670
7168,7168,7168,4.4863,164186
7424,7424,7424,7.70046,106274
7680,7680,7680,9.94553,91093.1
7936,7936,7936,19.1776,52124.2
8192,8192,8192,9.83402,111807
8448,8448,8448,29.1921,41307.2
8704,8704,8704,7.8499,168005
8960,8960,8960,8.66413,166046
9216,9216,9216,9.40907,166384
9472,9472,9472,10.2547,165743
9728,9728,9728,11.1122,165691
9984,9984,9984,12.0125,165695
10240,10240,10240,12.7172,168865
10496,10496,10496,13.8874,166526
10752,10752,10752,14.8773,167099
11008,11008,11008,15.9,167787
11264,11264,11264,19.2908,148169
11520,11520,11520,18.8314,162369
11776,11776,11776,23.199,140784
12032,12032,12032,25.0819,138894
12288,12288,12288,21.836,169942
12544,12544,12544,24.6331,160258
12800,12800,12800,24.6359,170251
13056,13056,13056,26.2157,169785
13312,13312,13312,34.2017,137947
13568,13568,13568,29.4035,169894
13824,13824,13824,37.8275,139677
14080,14080,14080,35.8968,155518
14336,14336,14336,41.7396,141178
14592,14592,14592,45.5776,136340
14848,14848,14848,43.2915,151228
15104,15104,15104,43.9882,156664
15360,15360,15360,48.5335,149335
15616,15616,15616,55.8182,136447
15872,15872,15872,57.9463,138006
16128,16128,16128,61.307,136855
16384,16384,16384,68.2806,128823
16640,16640,16640,70.8255,130107
16896,16896,16896,70.2692,137283
17152,17152,17152,77.5734,130095
17408,17408,17408,79.3228,133008
17664,17664,17664,83.9662,131278
17920,17920,17920,87.2133,131966
18176,18176,18176,88.0268,136430
18432,18432,18432,91.3115,137158
18688,18688,18688,95.6677,136444
18944,18944,18944,103.316,131607
19200,19200,19200,105.128,134652
19456,19456,19456,110.538,133254
19712,19712,19712,111.093,137891
19968,19968,19968,117.35,135691
20224,20224,20224,124.609,132764
20480,20480,20480,123.182,139467
