m,n,k,rocblas_time_ms,rocblas_gops
256,256,256,0.02192,1530.77
512,512,512,0.02784,9642.08
768,768,768,0.02944,30773.4
1024,1024,1024,0.04512,47594.9
1280,1280,1280,0.05968,70279.9
1536,1536,1536,0.06096,118894
1792,1792,1792,0.0848,135721
2048,2048,2048,0.08928,192427
2304,2304,2304,0.1552,157611
2560,2560,2560,0.16832,199349
2816,2816,2816,0.17856,250117
3072,3072,3072,0.18672,310529
3328,3328,3328,0.27984,263433
3584,3584,3584,0.30992,297087
3840,3840,3840,0.31408,360565
4096,4096,4096,0.39648,346648
4352,4352,4352,0.41056,401532
4608,4608,4608,0.49552,394917
4864,4864,4864,0.50592,454914
5120,5120,5120,0.54896,488989
5376,5376,5376,0.62848,494443
5632,5632,5632,0.71296,501133
5888,5888,5888,0.737921,553253
6144,6144,6144,0.826401,561297
6400,6400,6400,0.874241,599706
6656,6656,6656,0.968801,608745
6912,6912,6912,1.12816,585423
7168,7168,7168,1.13328,649960
7424,7424,7424,1.24624,656662
7680,7680,7680,1.33872,676743
7936,7936,7936,1.42304,702453
8192,8192,8192,1.4712,747356
8448,8448,8448,1.64112,734769
8704,8704,8704,1.8472,713957
8960,8960,8960,2.19248,656172
9216,9216,9216,2.3656,661783
9472,9472,9472,2.52464,673217
9728,9728,9728,2.51632,731702
9984,9984,9984,2.73968,726513
10240,10240,10240,2.84496,754837
10496,10496,10496,3.07808,751313
10752,10752,10752,3.2872,756260
11008,11008,11008,3.58352,744466
11264,11264,11264,3.73825,764610
11520,11520,11520,3.99793,764809
11776,11776,11776,4.14448,788048
12032,12032,12032,4.56593,762983
12288,12288,12288,4.6616,796046
12544,12544,12544,5.30097,744703
12800,12800,12800,5.51393,760675
13056,13056,13056,5.59889,794985
13312,13312,13312,5.98961,787701
13568,13568,13568,6.39233,781481
13824,13824,13824,7.84065,673875
14080,14080,14080,6.92497,806158
14336,14336,14336,7.68561,766718
14592,14592,14592,7.69025,808042
14848,14848,14848,9.68641,675882
15104,15104,15104,8.72625,789729
15360,15360,15360,8.80561,823084
15616,15616,15616,9.40609,809711
15872,15872,15872,9.65297,828446
16128,16128,16128,10.1237,828767
16384,16384,16384,14.4859,607216
16640,16640,16640,11.2219,821150
16896,16896,16896,11.8424,814595
17152,17152,17152,12.4915,807902
17408,17408,17408,13.0211,810266
17664,17664,17664,13.5267,814900
17920,17920,17920,17.8579,644485
18176,18176,18176,14.6416,820231
18432,18432,18432,16.8715,742323
18688,18688,18688,16.2808,801756
18944,18944,18944,22.3203,609178
19200,19200,19200,17.1535,825243
19456,19456,19456,18.2151,808645
19712,19712,19712,19.4383,788067
19968,19968,19968,21.5852,737696
20224,20224,20224,22.2287,744246
20480,20480,20480,20.8283,824835
