m,n,k,rocblas_time_ms,rocblas_gops
256,256,256,0.052478,639.4
512,512,512,0.104158,2577.19
768,768,768,0.150078,6036.66
1024,1024,1024,0.250398,8576.28
1280,1280,1280,0.255518,16414.9
1536,1536,1536,0.395357,18332.2
1792,1792,1792,0.468797,24550.4
2048,2048,2048,0.632316,27169.8
2304,2304,2304,0.678556,36048.9
2560,2560,2560,0.983515,34116.8
2816,2816,2816,1.22927,36331.2
3072,3072,3072,1.22639,47278.5
3328,3328,3328,1.37679,53544.4
3584,3584,3584,1.69039,54468.6
3840,3840,3840,2.02303,55978.5
4096,4096,4096,3.39871,40438.6
4352,4352,4352,2.84495,57945.8
4608,4608,4608,3.38591,57795.3
4864,4864,4864,4.28142,53755.5
5120,5120,5120,4.96782,54034.8
5376,5376,5376,6.04462,51409
5632,5632,5632,7.29693,48964.1
5888,5888,5888,8.24397,49521.9
6144,6144,6144,9.58412,48398.4
6400,6400,6400,10.5609,49644.2
6656,6656,6656,11.8744,49666.1
6912,6912,6912,13.3406,49506.9
7168,7168,7168,14.8393,49637.6
7424,7424,7424,16.6342,49197.4
7680,7680,7680,17.8444,50770.5
7936,7936,7936,20.2162,49446.4
8192,8192,8192,24.7101,44496.4
8448,8448,8448,24.1156,50002.7
8704,8704,8704,26.2186,50301
8960,8960,8960,28.5177,50447.6
9216,9216,9216,30.9178,50634.7
9472,9472,9472,33.73,50389.4
9728,9728,9728,36.6895,50183.3
9984,9984,9984,41.1098,48417.1
10240,10240,10240,42.6026,50407.4
10496,10496,10496,46.1136,50150.2
10752,10752,10752,48.935,50801.7
11008,11008,11008,52.6825,50639.4
11264,11264,11264,56.1315,50921.5
11520,11520,11520,60.1423,50840.2
11776,11776,11776,64.3012,50793
12032,12032,12032,68.6009,50782.5
12288,12288,12288,75.9649,48849.6
12544,12544,12544,78.3776,50367
12800,12800,12800,82.5402,50815.3
13056,13056,13056,87.8085,50690.2
13312,13312,13312,92.7534,50866.3
13568,13568,13568,98.6592,50633.7
13824,13824,13824,103.967,50820.2
14080,14080,14080,110.096,50707
14336,14336,14336,116.831,50437.6
14592,14592,14592,122.999,50521.1
14848,14848,14848,128.979,50759.1
15104,15104,15104,136.894,50341
15360,15360,15360,141.435,51244.6
15616,15616,15616,150.004,50773.3
15872,15872,15872,157.623,50734.7
16128,16128,16128,166.169,50491.9
16384,16384,16384,188.368,46696.2
16640,16640,16640,182.077,50609.7
16896,16896,16896,190.32,50687.2
17152,17152,17152,199.545,50574.7
17408,17408,17408,208.31,50648.6
17664,17664,17664,217.553,50667.7
17920,17920,17920,228.645,50336.4
18176,18176,18176,237.391,50589.6
18432,18432,18432,245.275,51061.5
18688,18688,18688,259.261,50347.8
18944,18944,18944,266.628,50996.4
19200,19200,19200,277.457,51019.6
19456,19456,19456,287.607,51214.3
19712,19712,19712,301.813,50755.6
19968,19968,19968,310.828,51228.7
20224,20224,20224,325.728,50789.7
20480,20480,20480,356.629,48173
