m,n,k,rocblas_time_ms,rocblas_gops
256,256,256,0.02784,1205.26
512,512,512,0.04112,6528.1
768,768,768,0.0296,30607.1
1024,1024,1024,0.04704,45652.3
1280,1280,1280,0.056,74898.3
1536,1536,1536,0.08096,89522.7
1792,1792,1792,0.11312,101743
2048,2048,2048,0.22608,75990.2
2304,2304,2304,0.2568,95253.8
2560,2560,2560,0.28464,117884
2816,2816,2816,0.35424,126075
3072,3072,3072,0.44272,130968
3328,3328,3328,0.54656,134878
3584,3584,3584,0.733441,125536
3840,3840,3840,0.783361,144565
4096,4096,4096,1.004,136891
4352,4352,4352,1.09488,150567
4608,4608,4608,1.3952,140259
4864,4864,4864,1.72464,133448
5120,5120,5120,1.94176,138243
5376,5376,5376,2.27904,136350
5632,5632,5632,2.62545,136086
5888,5888,5888,3.02864,134799
6144,6144,6144,3.46065,134037
6400,6400,6400,3.71249,141223
6656,6656,6656,4.19009,140750
6912,6912,6912,4.69729,140603
7168,7168,7168,5.21825,141156
7424,7424,7424,5.78849,141377
7680,7680,7680,6.11297,148205
7936,7936,7936,7.03921,142007
8192,8192,8192,7.61361,144414
8448,8448,8448,8.42289,143163
8704,8704,8704,9.1149,144689
8960,8960,8960,9.88194,145583
9216,9216,9216,10.6511,146982
9472,9472,9472,11.5053,147726
9728,9728,9728,12.7034,144938
9984,9984,9984,13.5994,146361
10240,10240,10240,14.4848,148257
10496,10496,10496,15.9,145447
10752,10752,10752,16.9123,146992
11008,11008,11008,17.9472,148648
11264,11264,11264,19.4403,147029
11520,11520,11520,20.5445,148830
11776,11776,11776,22.1124,147703
12032,12032,12032,23.3978,148891
12288,12288,12288,25.0301,148255
12544,12544,12544,26.858,146982
12800,12800,12800,28.2213,148622
13056,13056,13056,30.0285,148227
13312,13312,13312,31.9181,147816
13568,13568,13568,33.5082,149082
13824,13824,13824,35.462,148994
14080,14080,14080,37.5784,148559
14336,14336,14336,39.7122,148385
14592,14592,14592,42.002,147947
14848,14848,14848,44.2509,147949
15104,15104,15104,46.5476,148050
15360,15360,15360,48.3606,149869
15616,15616,15616,51.3956,148188
15872,15872,15872,53.8762,148432
16128,16128,16128,56.6583,148084
16384,16384,16384,59.0786,148888
16640,16640,16640,61.8623,148958
16896,16896,16896,64.6543,149205
17152,17152,17152,67.5301,149443
17408,17408,17408,70.9284,148750
17664,17664,17664,74.0928,148772
17920,17920,17920,77.0885,149298
18176,18176,18176,81.0265,148217
18432,18432,18432,84.2386,148674
18688,18688,18688,87.4877,149201
18944,18944,18944,91.4722,148647
19200,19200,19200,94.9479,149090
19456,19456,19456,99.1244,148597
19712,19712,19712,102.932,148823
19968,19968,19968,107.196,148544
20224,20224,20224,111.862,147893
20480,20480,20480,115.27,149041
