m,n,k,rocblas_time_ms,rocblas_gops
256,256,256,0.068638,488.861
512,512,512,0.136798,1962.28
768,768,768,0.321117,2821.31
1024,1024,1024,0.614555,3494.37
1280,1280,1280,0.981273,4274.35
1536,1536,1536,1.37935,5254.47
1792,1792,1792,2.15375,5343.79
2048,2048,2048,3.13086,5487.26
2304,2304,2304,4.27709,5719.12
2560,2560,2560,6.00012,5592.29
2816,2816,2816,8.05004,5547.92
3072,3072,3072,10.4854,5529.81
3328,3328,3328,13.2633,5558.14
3584,3584,3584,16.6975,5514.2
3840,3840,3840,20.1087,5631.71
4096,4096,4096,24.6099,5584.7
4352,4352,4352,29.438,5600
4608,4608,4608,35.1252,5571.2
4864,4864,4864,41.2428,5580.37
5120,5120,5120,48.0301,5588.9
5376,5376,5376,55.4897,5600.09
5632,5632,5632,63.7527,5604.28
5888,5888,5888,73.1198,5583.39
6144,6144,6144,82.8498,5598.76
6400,6400,6400,94.0178,5576.48
6656,6656,6656,105.824,5572.98
6912,6912,6912,118.102,5592.2
7168,7168,7168,131.742,5591.13
7424,7424,7424,147.1,5563.28
7680,7680,7680,162.12,5588.26
7936,7936,7936,179.719,5562.13
8192,8192,8192,196.172,5604.83
8448,8448,8448,217.52,5543.62
8704,8704,8704,238.04,5540.35
8960,8960,8960,259.713,5539.37
9216,9216,9216,282.345,5544.69
9472,9472,9472,307.343,5530.08
9728,9728,9728,332.782,5532.75
9984,9984,9984,360.252,5525.06
10240,10240,10240,386.817,5551.68
10496,10496,10496,417.612,5537.69
10752,10752,10752,449.895,5525.69
11008,11008,11008,482.063,5534.16
11264,11264,11264,518.877,5508.63
11520,11520,11520,555.719,5502.14
11776,11776,11776,593.676,5501.41
12032,12032,12032,632.399,5508.74
12288,12288,12288,671.208,5528.62
12544,12544,12544,721.725,5469.73
12800,12800,12800,763.378,5494.4
13056,13056,13056,814.275,5466.25
13312,13312,13312,864.804,5455.6
13568,13568,13568,913.626,5467.76
13824,13824,13824,963.793,5482.11
14080,14080,14080,1024.58,5448.7
14336,14336,14336,1078.78,5462.37
14592,14592,14592,1139.91,5451.36
14848,14848,14848,1201.73,5447.87
15104,15104,15104,1265.83,5444.15
15360,15360,15360,1330.88,5445.85
15616,15616,15616,1400.97,5436.41
15872,15872,15872,1474.15,5424.8
16128,16128,16128,1544.75,5431.41
16384,16384,16384,1612.33,5455.53
16640,16640,16640,1691.62,5447.37
16896,16896,16896,1770.48,5448.68
17152,17152,17152,1857.28,5433.7
17408,17408,17408,1945.89,5421.98
17664,17664,17664,2024.85,5443.84
17920,17920,17920,2116.18,5438.66
18176,18176,18176,2207.06,5441.41
18432,18432,18432,2298.99,5447.67
18688,18688,18688,2403.53,5430.85
18944,18944,18944,2500.9,5436.86
19200,19200,19200,2601.46,5441.47
19456,19456,19456,2708.8,5437.68
19712,19712,19712,2815.1,5441.61
19968,19968,19968,2921.49,5450.41
20224,20224,20224,3041.03,5440.15
20480,20480,20480,3138.92,5473.19
