m,n,k,rocblas_time_ms,rocblas_gops
256,256,256,0.02544,1318.96
512,512,512,0.03744,7169.75
768,768,768,0.05712,15860.8
1024,1024,1024,0.087678,24492.8
1280,1280,1280,0.138878,30201.4
1536,1536,1536,0.162878,44498.1
1792,1792,1792,0.290398,39632.4
2048,2048,2048,0.303358,56632.3
2304,2304,2304,0.347998,70291.2
2560,2560,2560,0.500157,67087.8
2816,2816,2816,0.512157,87201.7
3072,3072,3072,0.571037,101538
3328,3328,3328,0.814396,90519.9
3584,3584,3584,0.794876,115834
3840,3840,3840,0.842076,134485
4096,4096,4096,1.304,105398
4352,4352,4352,1.37712,119709
4608,4608,4608,1.3112,149245
4864,4864,4864,1.55392,148110
5120,5120,5120,1.65232,162460
5376,5376,5376,1.95903,158623
5632,5632,5632,2.30783,154815
5888,5888,5888,2.60415,156771
6144,6144,6144,2.74959,168700
6400,6400,6400,3.16207,165805
6656,6656,6656,3.53951,166620
6912,6912,6912,4.05791,162757
7168,7168,7168,4.24879,173364
7424,7424,7424,4.82911,169464
7680,7680,7680,5.42815,166902
7936,7936,7936,8.05838,124047
8192,8192,8192,8.2715,132928
8448,8448,8448,9.23086,130632
8704,8704,8704,7.80014,169077
8960,8960,8960,8.49838,169285
9216,9216,9216,9.30382,168266
9472,9472,9472,10.0742,168711
9728,9728,9728,10.9547,168074
9984,9984,9984,11.792,168794
10240,10240,10240,12.1833,176264
10496,10496,10496,13.7118,168658
10752,10752,10752,14.4785,171701
11008,11008,11008,15.7704,169166
11264,11264,11264,16.7473,170672
11520,11520,11520,17.6217,173516
11776,11776,11776,19.099,171006
12032,12032,12032,19.8381,175608
12288,12288,12288,20.9585,177057
12544,12544,12544,22.6672,174157
12800,12800,12800,24.0419,174458
13056,13056,13056,25.32,175791
13312,13312,13312,26.595,177403
13568,13568,13568,28.631,174478
13824,13824,13824,29.9664,176318
14080,14080,14080,31.3819,177893
14336,14336,14336,33.4848,175981
14592,14592,14592,35.0672,177204
14848,14848,14848,37.0376,176763
15104,15104,15104,38.967,176852
15360,15360,15360,40.5342,178806
15616,15616,15616,42.9364,177384
15872,15872,15872,45.2768,176624
16128,16128,16128,48.0878,174476
16384,16384,16384,49.8924,176301
16640,16640,16640,53.4451,172418
16896,16896,16896,55.3817,174187
17152,17152,17152,56.1244,179814
17408,17408,17408,58.0859,181638
17664,17664,17664,60.8766,181070
17920,17920,17920,65.7828,174957
18176,18176,18176,69.1761,173608
18432,18432,18432,71.0134,176363
18688,18688,18688,73.9557,176501
18944,18944,18944,75.015,181258
19200,19200,19200,78.2482,180909
19456,19456,19456,81.437,180871
19712,19712,19712,84.7713,180706
19968,19968,19968,88.1116,180718
20224,20224,20224,91.686,180438
20480,20480,20480,94.1526,182468
