m,n,k,hipblas_time_ms,hipblas_gflops
256,256,256,0.01904,1762.31
512,512,512,0.02672,10046.2
768,768,768,0.04528,20008.2
1024,1024,1024,0.07792,27560.1
1280,1280,1280,0.1376,30481.9
1536,1536,1536,0.23024,31479.1
1792,1792,1792,0.3472,33148.5
2048,2048,2048,0.45184,38022
2304,2304,2304,0.673601,36314.1
2560,2560,2560,0.927522,36176.4
2816,2816,2816,1.2368,36110
3072,3072,3072,1.5464,37494.8
3328,3328,3328,2.04944,35970.3
3584,3584,3584,2.66545,34543.3
3840,3840,3840,3.51697,32200
4096,4096,4096,3.42641,40111.7
4352,4352,4352,4.13409,39876.5
4608,4608,4608,5.20849,37571.2
4864,4864,4864,5.62609,40907.6
5120,5120,5120,6.55026,40980.9
5376,5376,5376,7.88578,39406.1
5632,5632,5632,8.82578,40482.3
5888,5888,5888,9.95763,40999.4
6144,6144,6144,11.2328,41294.7
