m,n,k,hipblas_time_ms,hipblas_gflops
256,256,256,0.056798,590.768
512,512,512,0.085598,3136
768,768,768,0.142558,6355.1
1024,1024,1024,0.315197,6813.15
1280,1280,1280,0.517435,8105.95
1536,1536,1536,0.997271,7267.59
1792,1792,1792,1.29007,8921.37
2048,2048,2048,1.7675,9719.85
2304,2304,2304,2.23982,10921
2560,2560,2560,3.18141,10547
2816,2816,2816,4.10476,10880.3
3072,3072,3072,5.02156,11546.6
3328,3328,3328,7.0777,10415.7
3584,3584,3584,9.16056,10051.1
3840,3840,3840,10.7132,10570.7
4096,4096,4096,13.0077,10565.9
4352,4352,4352,15.5365,10610.7
4608,4608,4608,18.2141,10743.9
4864,4864,4864,21.931,10494.3
5120,5120,5120,25.6403,10469.3
5376,5376,5376,29.1303,10667.5
5632,5632,5632,33.8512,10554.6
5888,5888,5888,37.7117,10825.7
6144,6144,6144,43.5899,10641.4
