m,n,k,hipblas_time_ms,hipblas_gflops
256,256,256,0.02032,1651.3
512,512,512,0.02464,10894.3
768,768,768,0.03168,28597.5
1024,1024,1024,0.04416,48629.6
1280,1280,1280,0.0704,59578.2
1536,1536,1536,0.12544,57778.7
1792,1792,1792,0.13664,84229.9
2048,2048,2048,0.1528,112434
2304,2304,2304,0.29088,84093.7
2560,2560,2560,0.34352,97678.3
2816,2816,2816,0.423201,105531
3072,3072,3072,0.563681,102863
3328,3328,3328,0.713921,103259
3584,3584,3584,0.771042,119414
3840,3840,3840,0.899522,125896
4096,4096,4096,1.03056,133363
4352,4352,4352,1.32368,124541
4608,4608,4608,1.652,118456
4864,4864,4864,1.76288,130553
5120,5120,5120,2.14049,125409
5376,5376,5376,2.46449,126090
5632,5632,5632,2.89169,123557
5888,5888,5888,3.31025,123331
6144,6144,6144,3.71169,124972
